location_id,externalId,authority_name,authorityIdentifier,deviceName,measurement_type,platform_name,platformId,isUntrusted,description,locationInstallationPartner,isChornobylExclusionZone,addressCatuttc,addressPostCode,addressAdminUnitL1,admin_unit_l2,addressAdminUnitL3,addressAdminUnitL4,settlement_name,addressPostTypeName,addressCitytId,street_name,street_number,addressLocatorBuilding,addressDescription,lat,lon,source_file,region_raw,region_key,oblast_name_uk,oblast_name_en,display_region
3381,,"ГО ""ФРІ АРДУІНО""",42803747.0,Air Fresh Max,автоматично,Eco City,4.0,False,,,False,UA48060150010035747,,Україна,Миколаївська область,Миколаївський район,Микoлaївськa міська громада,Миколаїв,місто,13114.0,вулиця Срібляста 35,,,,47.025993,31.939208,saveecobot_radiation_locations.csv,Миколаївська область,mykolaiv,Mykolaivska oblast,Mykolaiv Oblast,Mykolaiv Oblast
3589,,КП «ЦЕМ» ДОР,40725107.0,,автоматично,КП «ЦЕМ» ДОР,6.0,False,,,False,UA12040150010056523,,Україна,Дніпропетровська область,Кам'янський район,Кaм'янськa міська громада,Кам’янське,місто,35.0,"проспект Аношкіна, 121",,,,48.5005967,34.6369341,saveecobot_radiation_locations.csv,Дніпропетровська область,dnipropetrovsk,Dnipropetrovska oblast,Dnipropetrovsk Oblast,Dnipropetrovsk Oblast
3668,,"ГО ""ФРІ АРДУІНО""",42803747.0,Air Fresh Max,автоматично,Eco City,4.0,False,,,False,UA32100070010044762,,Україна,Київська область,Вишгородський район,Пeтpівськa сільська громада,Нові Петрівці,село,9176.0,"вулиця Святослава князя, 34",,,,50.632972,30.442667,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
3672,,"ГО ""ФРІ АРДУІНО""",42803747.0,Air Fresh Max,автоматично,Eco City,4.0,False,,,False,UA12080010010085669,,Україна,Дніпропетровська область,Нікопольський район,Мapгaнeцькa міська громада,Марганець,місто,3417.0,вулиця Миру 6,,,,47.642153,34.629286,saveecobot_radiation_locations.csv,Дніпропетровська область,dnipropetrovsk,Dnipropetrovska oblast,Dnipropetrovsk Oblast,Dnipropetrovsk Oblast
3676,,"ГО ""ФРІ АРДУІНО""",42803747.0,Air Fresh Max,автоматично,Eco City,4.0,False,,,False,UA32080050020065009,,Україна,Київська область,Бучанський район,Бopщaгівськa сільська громада,Софіївська Борщагівка,село,18.0,вулиця Травнева 61,,,,50.4034984,30.3844285,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
3678,,"ГО ""ФРІ АРДУІНО""",42803747.0,Air Fresh Max,автоматично,Eco City,4.0,False,,,False,UA80000000000093317,,Україна,Київ,,,Київ,місто,2.0,"вулиця Григорія Ващенка, 3",,,,50.38932,30.6243,saveecobot_radiation_locations.csv,Київ,kyiv_city,m. Kyiv,Kyiv City,Kyiv City
3682,,"ГО ""ФРІ АРДУІНО""",42803747.0,Air Fresh Max,автоматично,Eco City,4.0,False,,,False,UA80000000000093317,,Україна,Київ,,,Київ,місто,2.0,вулиця Тираспольська 49,,,,50.481248,30.412327,saveecobot_radiation_locations.csv,Київ,kyiv_city,m. Kyiv,Kyiv City,Kyiv City
3701,,"ГО ""ФРІ АРДУІНО""",42803747.0,Air Fresh Max,автоматично,Eco City,4.0,False,,,False,UA71080490010015879,,Україна,Черкаська область,Черкаський район,Чepкaськa міська громада,Черкаси,місто,28855.0,"вулиця Танкістів, 4",,,,49.433423,32.050617,saveecobot_radiation_locations.csv,Черкаська область,cherkasy,Cherkaska oblast,Cherkasy Oblast,Cherkasy Oblast
3705,,КП «ЦЕМ» ДОР,40725107.0,,автоматично,КП «ЦЕМ» ДОР,6.0,False,,,False,UA12040150010056523,,Україна,Дніпропетровська область,Кам'янський район,Кaм'янськa міська громада,Кам’янське,місто,35.0,"Кам’янське, вул. Освітня 29",,,,48.5345018,34.5634642,saveecobot_radiation_locations.csv,Дніпропетровська область,dnipropetrovsk,Dnipropetrovska oblast,Dnipropetrovsk Oblast,Dnipropetrovsk Oblast
3707,,"ГО ""ФРІ АРДУІНО""",42803747.0,Air Fresh Max,автоматично,Eco City,4.0,False,,,False,UA48060150010035747,,Україна,Миколаївська область,Миколаївський район,Микoлaївськa міська громада,Миколаїв,місто,13114.0,"вулиця Севастопольська, 24",,,,46.9664763,31.9950338,saveecobot_radiation_locations.csv,Миколаївська область,mykolaiv,Mykolaivska oblast,Mykolaiv Oblast,Mykolaiv Oblast
3713,,"ДСП ""Екоцентр""",40248151.0,,автоматично,"ДСП ""Екоцентр""",24.0,False,Дані збираються через систему ЕкоЗагроза,,True,UA32000000020050699,,Україна,Київська область,,,Чорнобиль,місто,9228.0,"вулиця Кірова, 21",,,,51.276428,30.210056,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
3714,,"ДСП ""Екоцентр""",40248151.0,,автоматично,"ДСП ""Екоцентр""",24.0,False,Дані збираються через систему ЕкоЗагроза,,True,,,Україна,Київська область,,,Крива Гора,село,29892.0,Бібліотека,,,,51.389401,30.206091,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
